date,time,code,open,high,low,close,volume,amount,adjustflag
2017-07-26,20170726105000000,sh.601398,5.5900,5.6000,5.5800,5.6000,1317900,7367095.0000,3
2017-07-26,20170726105500000,sh.601398,5.5800,5.6000,5.5800,5.5900,1910200,10689756.0000,3
2017-07-26,20170726110000000,sh.601398,5.6000,5.6100,5.5900,5.6000,1754200,9825062.0000,3
2017-07-26,20170726110500000,sh.601398,5.5900,5.6000,5.5900,5.6000,907900,5080949.0000,3
2017-07-26,20170726111000000,sh.601398,5.6000,5.6000,5.5800,5.5800,2100400,11739976.0000,3
2017-07-26,20170726111500000,sh.601398,5.5900,5.5900,5.5700,5.5800,3479000,19402488.0000,3
2017-07-26,20170726112000000,sh.601398,5.5800,5.5800,5.5500,5.5500,5728300,31878282.0000,3
2017-07-26,20170726112500000,sh.601398,5.5500,5.5600,5.5300,5.5400,8105000,44917356.0000,3
2017-07-26,20170726113000000,sh.601398,5.5400,5.5600,5.5300,5.5600,4494800,24911664.0000,3
2017-07-26,20170726130500000,sh.601398,5.5500,5.5600,5.5200,5.5300,5367400,29694336.0000,3
2017-07-26,20170726131000000,sh.601398,5.5300,5.5300,5.5200,5.5300,4286100,23674388.0000,3
2017-07-26,20170726131500000,sh.601398,5.5300,5.5400,5.5200,5.5400,5697000,31488078.0000,3
2017-07-26,20170726132000000,sh.601398,5.5400,5.5600,5.5300,5.5500,1259600,6990470.0000,3
2017-07-26,20170726132500000,sh.601398,5.5600,5.5700,5.5500,5.5600,1786800,9935440.0000,3
2017-07-26,20170726133000000,sh.601398,5.5600,5.5600,5.5300,5.5300,1745800,9676018.0000,3
2017-07-26,20170726133500000,sh.601398,5.5400,5.5500,5.5300,5.5300,1141100,6326684.0000,3
2017-07-26,20170726134000000,sh.601398,5.5400,5.5500,5.5300,5.5500,3097000,17182844.0000,3
2017-07-26,20170726134500000,sh.601398,5.5500,5.5500,5.5300,5.5300,1118800,6201898.0000,3
2017-07-26,20170726135000000,sh.601398,5.5400,5.5400,5.5200,5.5300,2693500,14897760.0000,3
2017-07-26,20170726135500000,sh.601398,5.5300,5.5400,5.5200,5.5300,1374700,7603645.0000,3
2017-07-26,20170726140000000,sh.601398,5.5300,5.5400,5.5200,5.5200,2010600,11120761.0000,3
2017-07-26,20170726140500000,sh.601398,5.5300,5.5300,5.5200,5.5300,2694800,14883325.0000,3
2017-07-26,20170726141000000,sh.601398,5.5200,5.5400,5.5200,5.5300,4109800,22738912.0000,3
2017-07-26,20170726141500000,sh.601398,5.5300,5.5400,5.5200,5.5200,2636200,14573424.0000,3
2017-07-26,20170726142000000,sh.601398,5.5300,5.5400,5.5200,5.5300,3247900,17960468.0000,3
2017-07-26,20170726142500000,sh.601398,5.5300,5.5300,5.5200,5.5300,2823700,15608568.0000,3
2017-07-26,20170726143000000,sh.601398,5.5200,5.5800,5.5200,5.5700,4639700,25748572.0000,3
2017-07-26,20170726143500000,sh.601398,5.5800,5.5900,5.5600,5.5700,4165100,23221222.0000,3
2017-07-26,20170726144000000,sh.601398,5.5800,5.5900,5.5600,5.5600,3736900,20852348.0000,3
2017-07-26,20170726144500000,sh.601398,5.5700,5.5700,5.5600,5.5600,4144400,23064880.0000,3
2017-07-26,20170726145000000,sh.601398,5.5700,5.5700,5.5500,5.5600,2071200,11521795.0000,3
2017-07-26,20170726145500000,sh.601398,5.5500,5.5800,5.5500,5.5800,1971900,10968700.0000,3
2017-07-26,20170726150000000,sh.601398,5.5800,5.6000,5.5700,5.6000,6380900,35668112.0000,3
2017-07-27,20170727093500000,sh.601398,5.5700,5.5900,5.5500,5.5600,5342000,29760656.0000,3
2017-07-27,20170727094000000,sh.601398,5.5500,5.5500,5.5300,5.5400,5713300,31652876.0000,3
2017-07-27,20170727094500000,sh.601398,5.5400,5.5900,5.5400,5.5800,4499600,25031136.0000,3
2017-07-27,20170727095000000,sh.601398,5.5900,5.5900,5.5600,5.5600,3111400,17360288.0000,3
2017-07-27,20170727095500000,sh.601398,5.5600,5.5600,5.5400,5.5500,4089600,22687620.0000,3
2017-07-27,20170727100000000,sh.601398,5.5500,5.5500,5.5300,5.5500,2854000,15816453.0000,3
2017-07-27,20170727100500000,sh.601398,5.5500,5.5600,5.5400,5.5400,2566000,14238000.0000,3
2017-07-27,20170727101000000,sh.601398,5.5400,5.5600,5.5400,5.5600,2636300,14621808.0000,3
2017-07-27,20170727101500000,sh.601398,5.5500,5.5600,5.5400,5.5600,2074300,11526003.0000,3
2017-07-27,20170727102000000,sh.601398,5.5500,5.5600,5.5400,5.5500,1486500,8256405.0000,3
2017-07-27,20170727102500000,sh.601398,5.5500,5.5700,5.5400,5.5500,3231600,17971778.0000,3
2017-07-27,20170727103000000,sh.601398,5.5600,5.5700,5.5300,5.5300,6689500,37142692.0000,3
2017-07-27,20170727103500000,sh.601398,5.5300,5.5400,5.5200,5.5400,7750700,42877712.0000,3
2017-07-27,20170727104000000,sh.601398,5.5400,5.5400,5.5300,5.5300,1915900,10608869.0000,3
2017-07-27,20170727104500000,sh.601398,5.5300,5.5500,5.5000,5.5100,10766700,59449592.0000,3
2017-07-27,20170727105000000,sh.601398,5.5100,5.5200,5.4800,5.5000,8028500,44140976.0000,3
2017-07-27,20170727105500000,sh.601398,5.5100,5.5100,5.4900,5.5000,5460300,30005998.0000,3
2017-07-27,20170727110000000,sh.601398,5.5000,5.5000,5.4800,5.5000,5332400,29285888.0000,3
2017-07-27,20170727110500000,sh.601398,5.4900,5.5100,5.4900,5.4900,3337500,18358432.0000,3
2017-07-27,20170727111000000,sh.601398,5.4900,5.5100,5.4900,5.5000,2002600,11014556.0000,3
2017-07-27,20170727111500000,sh.601398,5.5100,5.5300,5.5000,5.5200,4318000,23844916.0000,3
2017-07-27,20170727112000000,sh.601398,5.5300,5.5500,5.5200,5.5400,8747500,48474572.0000,3
2017-07-27,20170727112500000,sh.601398,5.5300,5.5400,5.5200,5.5400,1961800,10850995.0000,3
2017-07-27,20170727113000000,sh.601398,5.5400,5.5400,5.5000,5.5200,5099000,28161204.0000,3
2017-07-27,20170727130500000,sh.601398,5.5100,5.5200,5.5000,5.5000,3288300,18104496.0000,3
2017-07-27,20170727131000000,sh.601398,5.5000,5.5100,5.4900,5.4900,2432800,13367706.0000,3
2017-07-27,20170727131500000,sh.601398,5.4900,5.5100,5.4900,5.5000,3369400,18535856.0000,3
2017-07-27,20170727132000000,sh.601398,5.5000,5.5100,5.5000,5.5000,1535000,8449596.0000,3
2017-07-27,20170727132500000,sh.601398,5.5000,5.5100,5.4900,5.5000,2002200,11008353.0000,3
2017-07-27,20170727133000000,sh.601398,5.5000,5.5200,5.5000,5.5200,4243100,23373028.0000,3
2017-07-27,20170727133500000,sh.601398,5.5100,5.5400,5.5100,5.5200,5428200,29992934.0000,3
2017-07-27,20170727134000000,sh.601398,5.5200,5.5400,5.5200,5.5200,3703700,20468946.0000,3
2017-07-27,20170727134500000,sh.601398,5.5200,5.5400,5.5200,5.5300,2186600,12088574.0000,3
2017-07-27,20170727135000000,sh.601398,5.5300,5.5400,5.5300,5.5300,2871500,15886358.0000,3
2017-07-27,20170727135500000,sh.601398,5.5300,5.5400,5.5300,5.5300,2262700,12526037.0000,3
2017-07-27,20170727140000000,sh.601398,5.5300,5.5400,5.5300,5.5300,2746800,15197264.0000,3
2017-07-27,20170727140500000,sh.601398,5.5300,5.5400,5.5200,5.5200,5051600,27925268.0000,3
2017-07-27,20170727141000000,sh.601398,5.5200,5.5200,5.5100,5.5100,2730000,15064479.0000,3
2017-07-27,20170727141500000,sh.601398,5.5100,5.5200,5.5100,5.5100,1119900,6174403.0000,3
2017-07-27,20170727142000000,sh.601398,5.5100,5.5200,5.5000,5.5000,3776200,20791648.0000,3
